rank,competitor_name,stage,our_score_normalized,our_score,official_mean,official_rank,future_advancements,comment_count,comment_count_inc_likes,advanced,pred_advance
10,"Prokopowicz, Yehuda",stage3,0.5700778701519265,0.6310386587260487,19.49,19,0,121,1924.0,False,True
11,"Lee, Hyo",stage3,0.5441042663530075,0.563586496956281,20.79,8,0,258,5407.0,False,True
12,"Gao, Yang (Jack)",stage3,0.5400254906888275,0.7038612854251012,19.88,15,0,66,987.0,False,False
13,"Shindo, Miyu",stage3,0.5055246644843902,0.5788452744214622,21.06,7,1,297,9756.0,True,False
14,"Lee, Hyuk",stage3,0.4740038932742586,0.5873385680438323,20.03,14,0,383,13501.0,False,False
15,"Pawlak, Piotr",stage3,0.44802698463570795,0.5578062613496041,19.31,20,0,492,13737.0,False,False
16,"Ushida, Tomoharu",stage3,0.4464183577040595,0.585124322837053,20.58,12,0,294,16352.0,False,False
17,"Kuwahara, Shiori",stage3,0.37980576331404026,0.5818669176367753,21.36,6,1,501,25163.0,True,False
18,"Wu, Yifan",stage3,0.36872651709203663,0.6979517456359102,19.8,17,0,27,401.0,False,False
19,"Guo, Eric",stage3,0.3344911611370781,0.6881779202279202,19.54,18,0,47,344.0,False,False
20,"Li, Xiaoxuan",stage3,0.21394544129427082,0.6480616580310881,19.85,16,0,34,187.0,False,False
1,"Yang, William",stage4,0.7380911003027248,0.7491894000576867,20.48,9,0,157,3461.0,True,True
2,"Khrikuli, David",stage4,0.7311804130415084,0.7604228199718706,20.72,7,0,42,2844.0,False,True
3,"Wang, Zitong",stage4,0.6300918686487019,0.666553574249605,20.64,8,0,162,2522.0,True,True
4,"Lu, Eric",stage4,0.59214486346997,0.6656248909517951,21.41,2,0,285,8922.0,True,True
5,"Li, Tianyou",stage4,0.5855411237229708,0.6970293882010196,19.09,11,0,82,1371.0,False,True
6,"Alexewicz, Piotr",stage4,0.5848374787905355,0.5950991610025489,21.3,3,0,250,4680.0,True,True
7,"Lyu, Tianyao",stage4,0.528505187350203,0.659304781420765,21.25,4,0,620,13835.0,True,True
8,"Chen, Kevin",stage4,0.5282361842008702,0.7406239596469104,21.58,1,0,33,793.0,True,True
9,"Shindo, Miyu",stage4,0.4983473685944645,0.5925439927026322,19.72,10,0,312,11507.0,False,False
10,"Ong, Vincent",stage4,0.48616758192234144,0.6873132066252992,21.04,6,0,534,20454.0,True,False
11,"Kuwahara, Shiori",stage4,0.2127118215843617,0.7174614906832298,21.04,5,0,5,161.0,True,False
